Region_name,District,HR_info_district_name,REGN_NO,DIST_NO,Sector,Activity_type,Organisation,Activity,Start_date,End_date
Bay,Baidoa,Baidoa,24,2401,Food security,Early Recovery Support to vulnerable populations in Bay region of Somalia,Agency for Technical Cooperation and Development(ACTED),"To improve food security and access to markets for 1,100 vulnerable households (6,600 individuals) in Baidoa through access to cash",02-01-2013,12-01-2013
Bay,Baidoa,Baidoa,24,2401,Food security,Supporting lean season food security for vulnerable populations in Bay and Gedo (Emergency water tru,Agency for Technical Cooperation and Development(ACTED),"Fostering improved food security and enhanced resilience to seasonal hardship and future shocks for women, men and children through unconditional cash transfers. The projects also seeks to support vulnerable communities facing water scarcity in El waq (Gedo) through water trucking.",09-01-2013,03-01-2014
Gedo,Ceel Waaq,El Waq,26,2604,Food security,Supporting lean season food security for vulnerable populations in Bay and Gedo (Emergency water tru,Agency for Technical Cooperation and Development(ACTED),"Fostering improved food security and enhanced resilience to seasonal hardship and future shocks for women, men and children through unconditional cash transfers. The projects also seeks to support vulnerable communities facing water scarcity in El waq (Gedo) through water trucking.",09-01-2013,03-01-2014
Benadir,Mogadishu,Mogadishu,22,2201,Enabling Environment,Mapping and Information Management for Effective Humanitarian Programming in Somalia,Agency for Technical Cooperation and Development(ACTED),"Seeking to provide better information for planning, response and coordination in humanitarian programming for Somalia through IDP settlement assessments",12-01-2012,12-01-2013
Bay,Baidoa,Baidoa,24,2401,WASH,"Improving water supply, hygiene and sanitation, and information management in Somalia",Agency for Technical Cooperation and Development(ACTED),"The project will ensure that humanitarian actors have better information for planning, response and coordination in humanitarian programming in Somalia. Also to ensure that 2000 HHs have improved knowledge of hygiene practices through training and the use of kits.",07-01-2013,06-01-2014
Bay,Baidoa,Baidoa,24,2401,WASH,Information management and evaluation support to the Shelter cluster,Agency for Technical Cooperation and Development(ACTED),"The project seeks to ensure that humanitarian actors have better information for planning, response and coordination in shelter assistance interventions. Also to ensure that the Shelter cluster and cluster members receive evaluation reports, maps and factsheets to inform better shelter programming",10-01-2013,05-01-2014
Mudug,Gaalkacyo,Galkaacyo,18,1801,WASH,Information management and evaluation support to the Shelter cluster,Agency for Technical Cooperation and Development(ACTED),"The project seeks to ensure that humanitarian actors have better information for planning, response and coordination in shelter assistance interventions. Also to ensure that the Shelter cluster and cluster members receive evaluation reports, maps and factsheets to inform better shelter programming",10-01-2013,05-01-2014
Lower Juba,Kismayo,Kismayo,28,2804,WASH,Information management and evaluation support to the Shelter cluster,Agency for Technical Cooperation and Development(ACTED),"The project seeks to ensure that humanitarian actors have better information for planning, response and coordination in shelter assistance interventions. Also to ensure that the Shelter cluster and cluster members receive evaluation reports, maps and factsheets to inform better shelter programming",10-01-2013,05-01-2014
Bay,Diinsor,Diinsoor,24,2403,WASH,"Emergency Food, Livelihood and WASH support",Agency for Technical Cooperation and Development(ACTED),"The Emergency food, livelihood and WASH support project aimed at addressing the most urgent food security needs among the agro-pastoral communities of Sakow and Dinsor Districts, through food and cash transfers (FFW/CCFW/UCT), community assets rehabilitation, hygiene promotion training, livestock and natural management training and shallow well rehabilitation. Currently the project is targeting vulnerable urban populations of Baidoa town with hygiene promotion training and hygiene kit distribution.",05-01-2012,06-01-2013
Middle Juba,Sakow,Saakow,27,2703,WASH,"Emergency Food, Livelihood and WASH support",Agency for Technical Cooperation and Development(ACTED),"The Emergency food, livelihood and WASH support project aimed at addressing the most urgent food security needs among the agro-pastoral communities of Sakow and Dinsor Districts, through food and cash transfers (FFW/CCFW/UCT), community assets rehabilitation, hygiene promotion training, livestock and natural management training and shallow well rehabilitation. Currently the project is targeting vulnerable urban populations of Baidoa town with hygiene promotion training and hygiene kit distribution.",05-01-2012,06-01-2013
Sannag,Erigavo,Ceerigaabo,15,1502,Food security,SSN,Africa Development Solutions (Adeso),"Project targets 92 house holds,funded by EC/SIDA and is implemented using a consortium with Save the Children UK as A sub-grantee to Horn Relief methodology, risk mitigation and monitoring and reporting",06-01-2010,11-01-2012
Sannag,Erigavo,Ceerigaabo,15,1502,Food security,SERP II,Africa Development Solutions (Adeso),"Project targets 3300 households and 300 households,funded by OFDA and is implemented by Horn Relief approach to beneficiary selection and registration, implementation methodology, risk mitigation and monitoring and reporting",11-01-2011,11-01-2012
Sanaag,Las Khorey,Laasqoray,15,1503,Food security,SERP II,Africa Development Solutions (Adeso),"Project targets 3300 households and 300 households,funded by OFDA and is implemented by Horn Relief approach to beneficiary selection and registration, implementation methodology, risk mitigation and monitoring and reporting",11-01-2011,11-01-2012
Lower Juba,Afmadow,Afmadow,28,2801,Food security,Cash Assistance to South and Central Regions of Somalia (CASS),Africa Development Solutions (Adeso),"To ensure food security for households in the South and Central regions of Somalia. Entrepreneurial activities supported and developed, particularly for women and people affected by displacement.",09-01-2011,04-01-2013
Lowe Juba,Badhadhe,Badhaadhe,28,2802,Food security,Cash Assistance to South and Central Regions of Somalia (CASS),Africa Development Solutions (Adeso),"To ensure food security for households in the South and Central regions of Somalia. Entrepreneurial activities supported and developed, particularly for women and people affected by displacement.",09-01-2011,04-01-2013
Bay,Baidoa,Baidoa,24,2401,Food security,Cash Assistance to South and Central Regions of Somalia (CASS),Africa Development Solutions (Adeso),"To ensure food security for households in the South and Central regions of Somalia. Entrepreneurial activities supported and developed, particularly for women and people affected by displacement.",09-01-2011,04-01-2013
Gedo,Bardera,Baardheere,26,2601,Food security,Cash Assistance to South and Central Regions of Somalia (CASS),Africa Development Solutions (Adeso),"To ensure food security for households in the South and Central regions of Somalia. Entrepreneurial activities supported and developed, particularly for women and people affected by displacement.",09-01-2011,04-01-2013
Hiran,BeledWeyne,Belet Weyne,20,2001,Food security,Cash Assistance to South and Central Regions of Somalia (CASS),Africa Development Solutions (Adeso),"To ensure food security for households in the South and Central regions of Somalia. Entrepreneurial activities supported and developed, particularly for women and people affected by displacement.",09-01-2011,04-01-2013
Hiran,Buloburde,Bulo Burti,20,2002,Food security,Cash Assistance to South and Central Regions of Somalia (CASS),Africa Development Solutions (Adeso),"To ensure food security for households in the South and Central regions of Somalia. Entrepreneurial activities supported and developed, particularly for women and people affected by displacement.",09-01-2011,04-01-2013
Bay,Buur Hakaba,Buur Hakaba,24,2402,Food security,Cash Assistance to South and Central Regions of Somalia (CASS),Africa Development Solutions (Adeso),"To ensure food security for households in the South and Central regions of Somalia. Entrepreneurial activities supported and developed, particularly for women and people affected by displacement.",09-01-2011,04-01-2013
Bay,Diinsor,Diinsoor,24,2403,Food security,Cash Assistance to South and Central Regions of Somalia (CASS),Africa Development Solutions (Adeso),"To ensure food security for households in the South and Central regions of Somalia. Entrepreneurial activities supported and developed, particularly for women and people affected by displacement.",09-01-2011,04-01-2013
